Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603_1608Metric",73.000000,-68.500000,0.000000,top
"C2","100nF","C_0603_1608Metric",79.200000,-55.700000,90.000000,top
"C3","100nF","C_0603_1608Metric",78.600000,-68.500000,0.000000,top
"J7","HDMI1","WURTH_685119134923_HDMI",82.500000,-62.000000,90.000000,top
"R24","100k","R_0603_1608Metric",72.400000,-56.000000,0.000000,top
"R25","100k","R_0603_1608Metric",75.500000,-56.000000,0.000000,top
"R26","10k","R_0603_1608Metric",75.000000,-54.500000,0.000000,top
"R27","10k","R_0603_1608Metric",79.200000,-52.000000,90.000000,top
"SW2","B3U-1000P","SW_SPST_B3U-1000P",75.000000,-52.000000,0.000000,top
"SW3","B3U-1000P","SW_SPST_B3U-1000P",83.000000,-52.000000,0.000000,top
"U3","XIAO ESP32-C6","XIAO_ESP32C6_Castellated",52.000000,-71.037000,0.000000,top
"U4","TPD12S016PWR","TSSOP-24_4.4x7.8mm_P0.65mm",75.800000,-62.000000,0.000000,top
